id_fact_inflasi,nama_wilayah,jenis_wilayah,tahun,bulan,bulan_ke,periode_label,inflasi_yoy,status_inflasi,keterangan_etl
FI00020,Kabupaten Bandung,Kabupaten,2022,Agustus,8,Agustus 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00021,Kabupaten Bandung,Kabupaten,2022,September,9,September 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00022,Kabupaten Bandung,Kabupaten,2022,Oktober,10,Oktober 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00023,Kabupaten Bandung,Kabupaten,2022,November,11,November 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00024,Kabupaten Bandung,Kabupaten,2022,Desember,12,Desember 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00025,Kabupaten Bandung,Kabupaten,2023,Januari,1,Januari 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00026,Kabupaten Bandung,Kabupaten,2023,Februari,2,Februari 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00027,Kabupaten Bandung,Kabupaten,2023,Maret,3,Maret 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00028,Kabupaten Bandung,Kabupaten,2023,April,4,April 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00029,Kabupaten Bandung,Kabupaten,2023,Mei,5,Mei 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00030,Kabupaten Bandung,Kabupaten,2023,Juni,6,Juni 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00031,Kabupaten Bandung,Kabupaten,2023,Juli,7,Juli 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00032,Kabupaten Bandung,Kabupaten,2023,Agustus,8,Agustus 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00033,Kabupaten Bandung,Kabupaten,2023,September,9,September 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00034,Kabupaten Bandung,Kabupaten,2023,Oktober,10,Oktober 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00035,Kabupaten Bandung,Kabupaten,2023,November,11,November 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00036,Kabupaten Bandung,Kabupaten,2023,Desember,12,Desember 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00037,Kabupaten Bandung,Kabupaten,2024,Januari,1,Januari 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00038,Kabupaten Bandung,Kabupaten,2024,Februari,2,Februari 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00039,Kabupaten Bandung,Kabupaten,2024,Maret,3,Maret 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00040,Kabupaten Bandung,Kabupaten,2024,April,4,April 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00041,Kabupaten Bandung,Kabupaten,2024,Mei,5,Mei 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00042,Kabupaten Bandung,Kabupaten,2024,Juni,6,Juni 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00043,Kabupaten Bandung,Kabupaten,2024,Juli,7,Juli 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00044,Kabupaten Bandung,Kabupaten,2024,Agustus,8,Agustus 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00045,Kabupaten Bandung,Kabupaten,2024,September,9,September 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00046,Kabupaten Bandung,Kabupaten,2024,Oktober,10,Oktober 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00047,Kabupaten Bandung,Kabupaten,2024,November,11,November 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00048,Kabupaten Bandung,Kabupaten,2024,Desember,12,Desember 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00049,Kabupaten Bandung,Kabupaten,2025,Januari,1,Januari 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00050,Kabupaten Bandung,Kabupaten,2025,Februari,2,Februari 2025,-0.45,tersedia,OK
FI00051,Kabupaten Bandung,Kabupaten,2025,Maret,3,Maret 2025,0.85,tersedia,OK
FI00052,Kabupaten Bandung,Kabupaten,2025,April,4,April 2025,1.61,tersedia,OK
FI00053,Kabupaten Bandung,Kabupaten,2025,Mei,5,Mei 2025,1.26,tersedia,OK
FI00054,Kabupaten Bandung,Kabupaten,2025,Juni,6,Juni 2025,1.38,tersedia,OK
FI00055,Kabupaten Bandung,Kabupaten,2025,Juli,7,Juli 2025,1.55,tersedia,OK
FI00056,Kabupaten Bandung,Kabupaten,2025,Agustus,8,Agustus 2025,1.46,tersedia,OK
FI00057,Kabupaten Bandung,Kabupaten,2025,September,9,September 2025,1.87,tersedia,OK
FI00058,Kabupaten Bandung,Kabupaten,2025,Oktober,10,Oktober 2025,2.23,tersedia,OK
FI00059,Kabupaten Bandung,Kabupaten,2025,November,11,November 2025,1.89,tersedia,OK
FI00060,Kabupaten Bandung,Kabupaten,2025,Desember,12,Desember 2025,2.13,tersedia,OK
FI00061,Kabupaten Bandung Barat,Kabupaten,2021,Januari,1,Januari 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00062,Kabupaten Bandung Barat,Kabupaten,2021,Februari,2,Februari 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00063,Kabupaten Bandung Barat,Kabupaten,2021,Maret,3,Maret 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00064,Kabupaten Bandung Barat,Kabupaten,2021,April,4,April 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00065,Kabupaten Bandung Barat,Kabupaten,2021,Mei,5,Mei 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00066,Kabupaten Bandung Barat,Kabupaten,2021,Juni,6,Juni 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00067,Kabupaten Bandung Barat,Kabupaten,2021,Juli,7,Juli 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00068,Kabupaten Bandung Barat,Kabupaten,2021,Agustus,8,Agustus 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00069,Kabupaten Bandung Barat,Kabupaten,2021,September,9,September 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00070,Kabupaten Bandung Barat,Kabupaten,2021,Oktober,10,Oktober 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00071,Kabupaten Bandung Barat,Kabupaten,2021,November,11,November 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00072,Kabupaten Bandung Barat,Kabupaten,2021,Desember,12,Desember 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00073,Kabupaten Bandung Barat,Kabupaten,2022,Januari,1,Januari 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00074,Kabupaten Bandung Barat,Kabupaten,2022,Februari,2,Februari 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00075,Kabupaten Bandung Barat,Kabupaten,2022,Maret,3,Maret 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00076,Kabupaten Bandung Barat,Kabupaten,2022,April,4,April 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00077,Kabupaten Bandung Barat,Kabupaten,2022,Mei,5,Mei 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00078,Kabupaten Bandung Barat,Kabupaten,2022,Juni,6,Juni 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00079,Kabupaten Bandung Barat,Kabupaten,2022,Juli,7,Juli 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00080,Kabupaten Bandung Barat,Kabupaten,2022,Agustus,8,Agustus 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00081,Kabupaten Bandung Barat,Kabupaten,2022,September,9,September 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00082,Kabupaten Bandung Barat,Kabupaten,2022,Oktober,10,Oktober 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00083,Kabupaten Bandung Barat,Kabupaten,2022,November,11,November 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00084,Kabupaten Bandung Barat,Kabupaten,2022,Desember,12,Desember 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00085,Kabupaten Bandung Barat,Kabupaten,2023,Januari,1,Januari 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00086,Kabupaten Bandung Barat,Kabupaten,2023,Februari,2,Februari 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00087,Kabupaten Bandung Barat,Kabupaten,2023,Maret,3,Maret 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00088,Kabupaten Bandung Barat,Kabupaten,2023,April,4,April 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00089,Kabupaten Bandung Barat,Kabupaten,2023,Mei,5,Mei 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00090,Kabupaten Bandung Barat,Kabupaten,2023,Juni,6,Juni 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00091,Kabupaten Bandung Barat,Kabupaten,2023,Juli,7,Juli 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00092,Kabupaten Bandung Barat,Kabupaten,2023,Agustus,8,Agustus 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00093,Kabupaten Bandung Barat,Kabupaten,2023,September,9,September 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00094,Kabupaten Bandung Barat,Kabupaten,2023,Oktober,10,Oktober 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00095,Kabupaten Bandung Barat,Kabupaten,2023,November,11,November 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00096,Kabupaten Bandung Barat,Kabupaten,2023,Desember,12,Desember 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00097,Kabupaten Bandung Barat,Kabupaten,2024,Januari,1,Januari 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00098,Kabupaten Bandung Barat,Kabupaten,2024,Februari,2,Februari 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00099,Kabupaten Bandung Barat,Kabupaten,2024,Maret,3,Maret 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00100,Kabupaten Bandung Barat,Kabupaten,2024,April,4,April 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00101,Kabupaten Bandung Barat,Kabupaten,2024,Mei,5,Mei 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00102,Kabupaten Bandung Barat,Kabupaten,2024,Juni,6,Juni 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00103,Kabupaten Bandung Barat,Kabupaten,2024,Juli,7,Juli 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00104,Kabupaten Bandung Barat,Kabupaten,2024,Agustus,8,Agustus 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00105,Kabupaten Bandung Barat,Kabupaten,2024,September,9,September 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00106,Kabupaten Bandung Barat,Kabupaten,2024,Oktober,10,Oktober 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00107,Kabupaten Bandung Barat,Kabupaten,2024,November,11,November 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00108,Kabupaten Bandung Barat,Kabupaten,2024,Desember,12,Desember 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00109,Kabupaten Bandung Barat,Kabupaten,2025,Januari,1,Januari 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00110,Kabupaten Bandung Barat,Kabupaten,2025,Februari,2,Februari 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00111,Kabupaten Bandung Barat,Kabupaten,2025,Maret,3,Maret 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00112,Kabupaten Bandung Barat,Kabupaten,2025,April,4,April 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00113,Kabupaten Bandung Barat,Kabupaten,2025,Mei,5,Mei 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00114,Kabupaten Bandung Barat,Kabupaten,2025,Juni,6,Juni 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00115,Kabupaten Bandung Barat,Kabupaten,2025,Juli,7,Juli 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00116,Kabupaten Bandung Barat,Kabupaten,2025,Agustus,8,Agustus 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00117,Kabupaten Bandung Barat,Kabupaten,2025,September,9,September 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00118,Kabupaten Bandung Barat,Kabupaten,2025,Oktober,10,Oktober 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00119,Kabupaten Bandung Barat,Kabupaten,2025,November,11,November 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00120,Kabupaten Bandung Barat,Kabupaten,2025,Desember,12,Desember 2025,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00121,Kabupaten Bekasi,Kabupaten,2021,Januari,1,Januari 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00122,Kabupaten Bekasi,Kabupaten,2021,Februari,2,Februari 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00123,Kabupaten Bekasi,Kabupaten,2021,Maret,3,Maret 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00124,Kabupaten Bekasi,Kabupaten,2021,April,4,April 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00125,Kabupaten Bekasi,Kabupaten,2021,Mei,5,Mei 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00126,Kabupaten Bekasi,Kabupaten,2021,Juni,6,Juni 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00127,Kabupaten Bekasi,Kabupaten,2021,Juli,7,Juli 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00128,Kabupaten Bekasi,Kabupaten,2021,Agustus,8,Agustus 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00129,Kabupaten Bekasi,Kabupaten,2021,September,9,September 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00130,Kabupaten Bekasi,Kabupaten,2021,Oktober,10,Oktober 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00131,Kabupaten Bekasi,Kabupaten,2021,November,11,November 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00132,Kabupaten Bekasi,Kabupaten,2021,Desember,12,Desember 2021,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00133,Kabupaten Bekasi,Kabupaten,2022,Januari,1,Januari 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00134,Kabupaten Bekasi,Kabupaten,2022,Februari,2,Februari 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00135,Kabupaten Bekasi,Kabupaten,2022,Maret,3,Maret 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00136,Kabupaten Bekasi,Kabupaten,2022,April,4,April 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00137,Kabupaten Bekasi,Kabupaten,2022,Mei,5,Mei 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00138,Kabupaten Bekasi,Kabupaten,2022,Juni,6,Juni 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00139,Kabupaten Bekasi,Kabupaten,2022,Juli,7,Juli 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00140,Kabupaten Bekasi,Kabupaten,2022,Agustus,8,Agustus 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00141,Kabupaten Bekasi,Kabupaten,2022,September,9,September 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00142,Kabupaten Bekasi,Kabupaten,2022,Oktober,10,Oktober 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00143,Kabupaten Bekasi,Kabupaten,2022,November,11,November 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00144,Kabupaten Bekasi,Kabupaten,2022,Desember,12,Desember 2022,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00145,Kabupaten Bekasi,Kabupaten,2023,Januari,1,Januari 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00146,Kabupaten Bekasi,Kabupaten,2023,Februari,2,Februari 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00147,Kabupaten Bekasi,Kabupaten,2023,Maret,3,Maret 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00148,Kabupaten Bekasi,Kabupaten,2023,April,4,April 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00149,Kabupaten Bekasi,Kabupaten,2023,Mei,5,Mei 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00150,Kabupaten Bekasi,Kabupaten,2023,Juni,6,Juni 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00151,Kabupaten Bekasi,Kabupaten,2023,Juli,7,Juli 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00152,Kabupaten Bekasi,Kabupaten,2023,Agustus,8,Agustus 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00153,Kabupaten Bekasi,Kabupaten,2023,September,9,September 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00154,Kabupaten Bekasi,Kabupaten,2023,Oktober,10,Oktober 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00155,Kabupaten Bekasi,Kabupaten,2023,November,11,November 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00156,Kabupaten Bekasi,Kabupaten,2023,Desember,12,Desember 2023,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00157,Kabupaten Bekasi,Kabupaten,2024,Januari,1,Januari 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00158,Kabupaten Bekasi,Kabupaten,2024,Februari,2,Februari 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00159,Kabupaten Bekasi,Kabupaten,2024,Maret,3,Maret 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00160,Kabupaten Bekasi,Kabupaten,2024,April,4,April 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00161,Kabupaten Bekasi,Kabupaten,2024,Mei,5,Mei 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00162,Kabupaten Bekasi,Kabupaten,2024,Juni,6,Juni 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00163,Kabupaten Bekasi,Kabupaten,2024,Juli,7,Juli 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00164,Kabupaten Bekasi,Kabupaten,2024,Agustus,8,Agustus 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00165,Kabupaten Bekasi,Kabupaten,2024,September,9,September 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00166,Kabupaten Bekasi,Kabupaten,2024,Oktober,10,Oktober 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
FI00167,Kabupaten Bekasi,Kabupaten,2024,November,11,November 2024,,belum_tersedia,Inflasi belum tersedia pada kombinasi wilayah-bulan; tidak diimputasi
